index,DK-West,DK-East,DE,SE,ABS,KLT,AND,AHA,ASR,BED,BIL,BJH,BDR,BBR,BDK,BRE,DYB,EDR,EST,FER,FLE,FGD,FRD,FRT,FVO,GRP,ASP,HASV,HAT,HER,HOD,HNB,HR1,HR2,HVO,HON,HSKV,HVV,IDU,JAR,KAE,KAS,KIN,KLF,KNA,KBBV,LAG,LEM,LOL,LYK,MAG,MAL,MES,MKS,MLP,MOSV,MLU,MAS,NSP,NOR,NVV,OSO,RAM,REV,RIB,RYT,SFE,SHE,SKA,STW,SBA,STSV,STR,SVB,SVS,SON,TAN,THY,THO,TJE,TRI,TYR,VHA,VID,VIL,ADL,ABO,ADV,AVV,ALL,AMK,AMV,ASV,BAG,BAL,BLA,BEL,BJS,BOR,BRY,DYR,EBY,ESK,FNM,FLA,GLN,GRE,GRN,GGG,GOR,HSKO,HASO,HCV,HDG,HEJ,HMA,HKS,HVE,TEG,IDE,ISH,JER,KBA,KAM,KAR,KLB,KRL,KAK,KSV,KYV,KDR,LIN,LUP,MAV,MOSO,MALO,NVS,NAM,NYA,NYR,NSV,ORH,OST,RAD,RIN,RIL,RBY,ROA,ROB,SKE,SIB,SPA,SPR,STA,STSO,STV,SMK,SE4,SOS,TOR,VAL,VEJ,VLO,VIK,OLS,OSH,BOH
t0200,150.3523932036142,141.1991802084309,0,0,51.047059429405266,0.0,44.11474271676999,0.0,0.0,42.85432149629085,72.47422017755069,79.406536890186,67.43253529563412,53.56790187036356,54.8283230908427,0.0,23.31779257886414,0.0,55.458533701082274,17.645897086707997,0.0,75.62527322874855,22.687581968624567,17.645897086707997,143.05780852438266,57.349165531801,41.59390027581172,92.64095970521697,114.69833106360198,119.10980533527898,42.85432149629085,22.057371358384994,0.0,0.0,11.974001594551854,34.66158356317641,51.047059429405266,37.81263661437428,81.2971687209047,0.0,68.06274590587368,10.713580374072713,0.0,6.302106102395714,80.03674750042556,0.0,0.0,0.0,34.03137295293684,37.81263661437428,56.08874431132184,44.11474271676999,54.198112480603136,0.0,59.870007972759275,36.552215393895146,53.56790187036356,0.0,37.81263661437428,24.57821379934328,0.0,46.635585157728286,21.427160748145422,0.0,27.099056240301564,86.96906421306083,0.0,172.04749659540298,30.250109291499424,0.0,47.26579576796786,52.307480649884425,21.427160748145422,53.56790187036356,0.0,42.224110886051285,46.635585157728286,35.29179417341598,25.83863501982242,0.0,0.0,0.0,0.0,45.37516393724912,31.510530511978573,57.349165531801,56.718954921561405,0.0,12.660911267485295,80.12004916654487,61.804681977040296,45.78489714192958,0.0,19.244866793124192,10.65403712330659,23.962781447860095,46.35527189869616,0.0,47.355188138953636,64.7340140611748,19.104033519848503,52.43926930420634,28.265237946432684,8.224663159300793,21.815074030405693,111.448410806724,0.0,19.244866793124192,0.0,0.0,16.30849304532589,34.905526781381866,95.8511257914404,0.0,58.37539177277703,4.224998198270955,0.0,0.0,65.31847214526898,6.654372162276754,0.0,44.14418950826771,23.610698264670855,31.405819940480775,0.0,0.0,5.50658098507981,15.885993225498792,5.365747711804113,0.0,0.0,55.4390180249787,7.43599682895688,19.104033519848503,17.45628422252283,20.315199670019503,25.969655592038805,27.89907143591587,36.264567868492364,49.362062283132325,17.160534348643864,1.866040870903005,7.724705039172063,18.519575435754355,27.11744676923575,0.0,8.302121459602427,0.0,0.0,0.0,9.442870973135584,12.153911483692779,10.301953940117347,65.66351366479441,14.104452318561206,22.244615513896573,74.82471809137863,0.0,0.0,16.8154928291184,8.365496432576492,48.14385446929752,21.808032366741905,52.65051921411989,18.59703373605598,20.24478303338167,0.0
t0201,160.5375232699486,151.1690074796345,0,0,54.505075153094424,0.0,47.103151366871735,0.0,0.0,45.75734704210397,77.38374867414642,84.78567246036914,72.00053137507535,57.19668380262996,58.54248812739773,0.0,24.89738000820363,0.0,59.2153902897816,18.841260546748693,0.0,80.74825948606583,24.22447784581975,18.841260546748693,152.74879086114117,61.23409677693327,44.41154271733622,98.91661787043064,122.46819355386651,127.17850869055368,45.75734704210397,23.551575683435868,0.0,0.0,12.785141085293757,37.00961893111349,54.505075153094424,40.37412974303292,86.80437894752076,0.0,72.67343353745923,11.439336760525993,0.0,6.729021623838821,85.45857462275302,0.0,0.0,0.0,36.336716768729616,40.37412974303292,59.88829245216548,47.103151366871735,57.869585965013854,0.0,63.92570542646879,39.02832541826516,57.19668380262996,0.0,40.37412974303292,26.243184332971396,0.0,49.794760016407274,22.878673521051983,0.0,28.93479298250692,92.8604984089757,0.0,183.7022903307998,32.29930379442633,0.0,50.46766217879116,55.85087947786221,22.878673521051983,57.19668380262996,0.0,45.084444879720095,49.794760016407274,37.68252109349737,27.588988657739154,0.0,0.0,0.0,0.0,48.44895569163949,33.645108119194106,61.23409677693327,60.56119461454936,0.0,13.554876078375372,85.77718577294493,66.16860252497256,49.0176886883185,0.0,20.603713193659555,11.406300059278053,25.654751554344486,49.628336609535644,0.0,50.698855187471864,69.30476962653213,20.452935929161505,56.14191443585173,30.260996984760144,8.80539224668656,23.355398270749106,119.31758826053783,0.0,20.603713193659555,0.0,0.0,17.460007228875067,37.370145005843554,102.61900621737796,0.0,62.49717613444486,4.523317934941726,0.0,0.0,69.9304952741991,7.124225747533219,0.0,47.26113355691616,25.27780839309935,33.62332998306684,0.0,0.0,5.895391041874049,17.007675435380893,5.744613777375992,0.0,0.0,59.35347016966034,7.961039565497438,20.452935929161505,18.68884193453423,21.749620403844794,27.803327573441813,29.8689760970652,38.82514560824982,52.84743120656917,18.372209679088314,1.9977987545992621,8.270132957718458,19.82721028149457,29.032162279100987,0.0,8.888319742160492,0.0,0.0,0.0,10.109615584594758,13.012077926182364,11.02935689803291,70.2998995722193,15.100343039480464,23.815268927468182,80.10796062781799,0.0,0.0,18.00280538106807,8.95616951118462,51.543207868660964,23.347859407524204,56.36808033259882,19.910137776968494,21.67423177159578,0.0
t0202,159.1612886219609,152.6779948904115,0,0,54.037821321161765,0.0,46.6993517590287,0.0,0.0,45.3650845659136,76.72036360411857,84.05883316625167,71.38329483165815,56.70635570739199,58.040622900507095,0.0,24.683943072629454,0.0,58.70775649706464,18.67974070361148,0.0,80.05603158690634,24.016809476071902,18.67974070361148,151.4393264185645,60.70915728673732,44.0308173727985,98.06863869396027,121.41831457347462,126.0882497493775,45.3650845659136,23.34967587951435,0.0,0.0,12.675538334593504,36.692347810665396,54.037821321161765,40.02801579345317,86.06023395592432,0.0,72.0504284282157,11.3412711414784,0.0,6.671335965575531,84.72596676280922,0.0,0.0,0.0,36.02521421410785,40.02801579345317,59.37489009362219,46.6993517590287,57.37348930394955,0.0,63.37769167296752,38.693748600338076,56.70635570739199,0.0,40.02801579345317,26.01821026574456,0.0,49.36788614525892,22.682542282956796,0.0,28.68674465197477,92.06443632494229,0.0,182.12747186021195,32.02241263476254,0.0,50.03501974181648,55.372088514276896,22.682542282956796,56.70635570739199,0.0,44.69795096935605,49.36788614525892,37.359481407222944,27.352477458859664,0.0,0.0,0.0,0.0,48.03361895214379,33.35667982787765,60.70915728673732,60.04202369017974,0.0,13.690182499300748,86.63342406954612,66.82910555971229,49.50698921604753,0.0,20.809381963620098,11.520159133171319,25.91084040329279,50.123732699052745,0.0,51.2049373235804,69.99657826255383,20.657099622137338,56.70232985110828,30.56306593559132,8.89328874259359,23.588534695680593,120.50863093238762,0.0,20.809381963620098,0.0,0.0,17.634295143704417,37.74317833650378,103.64336161317118,0.0,63.1210305446069,4.5684702444830085,0.0,0.0,70.62854997970733,7.195340635060739,0.0,47.73289993777332,25.53013454958588,33.95896215065704,0.0,0.0,5.954239551976187,17.177448119256113,5.801957210493421,0.0,0.0,59.9459437246912,8.040507630290094,20.657099622137338,18.87539622678896,21.966727758889128,28.080863769422226,30.167131847736133,39.212702931812494,53.374960689709816,18.555603309675156,2.017741024646662,8.352686430329769,20.025127904983854,29.321964852506785,0.0,8.977044030409111,0.0,0.0,0.0,10.210530996419525,13.141966069962786,11.139453279464403,71.00164171634006,15.251076499499112,24.05299583720303,80.90760802979409,0.0,0.0,18.182511573042373,9.045571084076359,52.05771843588387,23.580920578606456,56.93075336333243,20.108883192799368,21.89058658814776,0.0
t0203,161.864074356637,155.5383143108397,0,0,54.9554606156432,0.0,47.492373371543515,0.0,0.0,46.13544841807085,78.02318482467862,85.48627206877835,72.59548501078794,57.66931052258855,59.02623547606123,0.0,25.103111639244432,0.0,59.70469795279756,18.996949348617406,0.0,81.4154972083603,24.424649162508093,18.996949348617406,154.01098221914825,61.74008538300659,44.77852346459819,99.73398408024138,123.48017076601315,128.2294081031675,46.13544841807085,23.746186685771757,0.0,0.0,12.890787057990384,37.31543622049846,54.9554606156432,40.70774860418015,87.52165949898733,0.0,73.27394748752427,11.533862104517713,0.0,6.784624767363361,86.16473454551468,0.0,0.0,0.0,36.636973743762134,40.70774860418015,60.38316042953389,47.492373371543515,58.347772999324896,0.0,64.45393528995191,39.3508236507075,57.66931052258855,0.0,40.70774860418015,26.460036592717103,0.0,50.20622327848887,23.067724209035422,0.0,29.173886499662444,93.62782178961436,0.0,185.22025614901972,32.56619888334413,0.0,50.884685755225206,56.3123855691159,23.067724209035422,57.66931052258855,0.0,45.456985941334516,50.20622327848887,37.9938986972348,27.81696154618977,0.0,0.0,0.0,0.0,48.84929832501618,33.923123836816806,61.74008538300659,61.06162290627022,0.0,13.94665884941304,88.25644293026785,68.08110384944287,50.43446932084738,0.0,21.199231721605024,11.73598155681976,26.396262549806767,51.062767077689685,0.0,52.16422734277126,71.30791702038603,21.044096473001993,57.7646098173409,31.135644394629555,9.059898518417372,24.03045000861045,122.76627898201346,0.0,21.199231721605024,0.0,0.0,17.96466178823171,38.450271366262754,105.58505019922708,0.0,64.30356054595892,4.654057458091115,0.0,0.0,71.95172830208865,7.330140496493507,0.0,48.62714367462202,26.008424428299183,34.5951604384773,0.0,0.0,6.065788220378752,17.499256042422594,5.910652971775717,0.0,0.0,61.06899061258557,8.191141126240362,21.044096473001993,19.229014064346455,22.378259610988106,28.606939842400056,30.732292748261663,39.94732651528207,54.37490463536453,18.903230042280082,2.0555420439902425,8.50916838587659,20.40028519129939,29.871292118514816,0.0,9.14522290514904,0.0,0.0,0.0,10.401818418833642,13.388171954442106,11.34814343531217,72.33180966116606,15.536795147594175,24.503612516849714,82.42335758279366,0.0,0.0,18.52314868320264,9.21503376702041,53.03298473494825,24.0226932461803,57.99731269024545,20.485609578031053,22.3006919866866,0.0
t0204,162.6441062690343,155.5683439110541,0,0,55.22029401496963,0.0,47.721241741331795,0.0,0.0,46.35777769157946,78.39918286075937,85.89823513439724,72.94532666175002,57.94722211447432,59.31068616422666,0.0,25.224084920418235,0.0,59.99241818910282,19.088496696532715,0.0,81.80784298514021,24.542352895542066,19.088496696532715,154.75316964689023,62.03761426373135,44.994313641827134,100.21460765679676,124.07522852746267,128.84735270159584,46.35777769157946,23.860620870665898,0.0,0.0,12.952908472647202,37.495261368189254,55.22029401496963,40.903921492570106,87.94343120902573,0.0,73.62705868662619,11.589444422894864,0.0,6.817320248761686,86.57996715927341,0.0,0.0,0.0,36.81352934331309,40.903921492570106,60.67415021397898,47.721241741331795,58.6289541393505,0.0,64.764542363236,39.54045744281778,57.94722211447432,0.0,40.903921492570106,26.587548970170573,0.0,50.44816984083648,23.17888884578973,0.0,29.31447706967524,94.07901943291125,0.0,186.11284279119403,32.723137194056086,0.0,51.12990186571265,56.583758064722,23.17888884578973,57.94722211447432,0.0,45.676045666703295,50.44816984083648,38.17699339306542,27.951013019922904,0.0,0.0,0.0,0.0,49.08470579108412,34.08660124380843,62.03761426373135,61.35588223885515,0.0,13.949351514506075,88.27348249835937,68.09424818844263,50.44420664478225,0.0,21.203324632449995,11.738247409036536,26.401358845308213,51.072625706336765,0.0,52.17429862906195,71.32168435642622,21.048159432066175,57.77576236291811,31.141655717034137,9.061647702415515,24.035089539454844,122.78998132374174,0.0,21.203324632449995,0.0,0.0,17.968130204447206,38.4576949151316,105.60543538123287,0.0,64.31597555909643,4.65495601151482,0.0,0.0,71.96561993801913,7.331555718135841,0.0,48.63653206031069,26.013445844348652,34.601839685593504,0.0,0.0,6.066959335007647,17.50263460329572,5.911794134623821,0.0,0.0,61.080781131093616,8.192722580266082,21.048159432066175,19.232726587575396,22.382580155367087,28.612462950777758,30.73822619603619,39.955039098835535,54.385402734531475,18.90687966676936,2.055938905085712,8.510811241052929,20.404223850473294,29.877059333905958,0.0,9.146988562626621,0.0,0.0,0.0,10.403826685735622,13.390756793124297,11.35033440807697,72.34577467895946,15.539794818440308,24.508343400625517,82.43927096392747,0.0,0.0,18.526724925828983,9.216812902799344,53.04322375121136,24.027331279435653,58.00851016349385,20.48956471068439,22.304997555175188,0.0
t0205,158.5998643792801,157.2274793229035,0,0,53.84720874712429,0.0,46.53462484319384,0.0,0.0,45.205064133388305,76.44974081381845,83.76232471774892,71.13149797459629,56.50633016673538,57.83589087654092,0.0,24.59687313140246,0.0,58.50067123144368,18.613849937277536,0.0,79.77364258833231,23.93209277649969,18.613849937277536,150.90514056292858,60.49501229615201,43.87550342358278,97.72271217070707,120.990024592304,125.64348707662337,45.205064133388305,23.26731242159692,0.0,0.0,12.630826743152614,36.56291951965229,53.84720874712429,39.886821294166154,85.75666578245722,0.0,71.79627832949906,11.301266033347076,0.0,6.647803549027693,84.4271050726517,0.0,0.0,0.0,35.89813916474953,39.886821294166154,59.16545158634645,46.53462484319384,57.171110521638155,0.0,63.154133715763074,38.55726058436062,56.50633016673538,0.0,39.886821294166154,25.926433841208,0.0,49.19374626280493,22.602532066694152,0.0,28.58555526081907,91.73968897658214,0.0,181.485036888456,31.90945703533292,0.0,49.8585266177077,55.176769456929854,22.602532066694152,56.50633016673538,0.0,44.540283778485545,49.19374626280493,37.227699874555064,27.255994551013533,0.0,0.0,0.0,0.0,47.864185552999366,33.23901774513846,60.49501229615201,59.83023194124921,0.0,14.098121260896672,89.21491863541843,68.82047291818137,50.98219379218584,0.0,21.429457956635478,11.863435744013715,26.682929171763828,51.617314939089425,0.0,52.730737196624105,72.08232967264911,21.272637920363,58.39194050606091,31.47378127988834,9.1582901183133,24.291423618608384,124.09953570423338,0.0,21.429457956635478,0.0,0.0,18.159760200354114,38.867845990136146,106.73171668705533,0.0,65.00190503494628,4.70460108817464,0.0,0.0,72.73313282317996,7.409746713875059,0.0,49.155240369611384,26.290879081082615,34.97086808876483,0.0,0.0,6.13166341825428,17.689300091536648,5.974843381981793,0.0,0.0,61.732207278664895,8.280097915187365,21.272637920363,19.43784349597489,22.62129023230639,28.91761468864679,31.066049185579875,40.38115934016567,54.965422713507046,19.108521419802667,2.0778654806104657,8.601578989545967,20.621834769832173,30.19569798426757,0.0,9.244541138263168,0.0,0.0,0.0,10.51478343207032,13.533569130315714,11.471385653332499,73.11734191204751,15.705526632689676,24.769724729239474,83.31848527157288,0.0,0.0,18.724312330935067,9.315110154585788,53.60892939975002,24.28358261679476,58.62717056046965,20.708085789782036,22.54288021417016,0.0
t0206,158.5799909547604,157.3851347240295,0,0,53.840461399370746,0.0,46.528793801925346,0.0,0.0,45.199399693298915,76.44016124602021,83.75182884346563,71.12258481151444,56.499249616623636,57.828643725250075,0.0,24.59379100958911,0.0,58.49334077956329,18.61151752077014,0.0,79.76364651758631,23.929093955275892,18.61151752077014,150.88623132910075,60.487431942502965,43.870005584672484,97.71046698404322,120.9748638850059,125.62774326519845,45.199399693298915,23.264396900962673,0.0,0.0,12.629244031951165,36.55833798722705,53.840461399370746,39.881823258793155,85.74592000640529,0.0,71.78728186582767,11.299849923324729,0.0,6.646970543132194,84.41652589777885,0.0,0.0,0.0,35.89364093291383,39.881823258793155,59.158037833876506,46.528793801925346,57.16394667093686,0.0,63.146220159755835,38.552429150166724,56.499249616623636,0.0,39.881823258793155,25.923185118215553,0.0,49.18758201917824,22.599699846649454,0.0,28.581973335468426,91.72819349522425,0.0,181.46229582750888,31.905458607034525,0.0,49.85227907349145,55.169855507997205,22.599699846649454,56.499249616623636,0.0,44.5347026389857,49.18758201917824,37.223035041540264,27.252579226841984,0.0,0.0,0.0,0.0,47.85818791055178,33.23485271566097,60.487431942502965,59.82273488818972,0.0,14.11225775263515,89.3043763678992,68.88948069793032,51.03331474284412,0.0,21.450945738571665,11.875331468151824,26.7096847231465,51.66907273948676,0.0,52.783611449650394,72.15460818686036,21.293968455450035,58.450491370341474,31.505340722512507,9.16747333430359,24.315781155541536,124.22397299830729,0.0,21.450945738571665,0.0,0.0,18.177969385485547,38.90681962169768,106.83873889258601,0.0,65.06708385391846,4.709318493649104,0.0,0.0,72.80606391181517,7.41717662749734,0.0,49.20452939447708,26.317241515342413,35.00593413612502,0.0,0.0,6.137811770055999,17.707037536120634,5.980834486934363,0.0,0.0,61.794107500832325,8.288400548822423,21.293968455450035,19.457334242926883,22.643973090296107,28.946611007629834,31.097199786396253,40.42165040382149,55.020537734133704,19.12768194837145,2.0799490013616877,8.61020397922178,20.642512730495245,30.225975865071177,0.0,9.25381084002049,0.0,0.0,0.0,10.52532683330575,13.547139533397257,11.482888260347734,73.19065825546315,15.72127490463193,24.79456186906253,83.40203052252565,0.0,0.0,18.743087604723435,9.32445061742523,53.662684235131536,24.307932291385455,58.68595729502393,20.728850236212136,22.5654844487353,0.0
t0207,157.3031234293712,155.3581367095529,0,0,53.40694430620582,0.0,46.15414940042479,0.0,0.0,44.83545941755552,75.82467401498359,83.07746892076464,70.54991408350647,56.04432427194439,57.36301425481368,0.0,24.395764683081676,0.0,58.02235924624831,18.461659760169916,0.0,79.12139897215678,23.736419691647036,18.461659760169916,149.67131305566326,60.000394220552245,43.516769434686246,96.92371374089207,120.00078844110448,124.61620338114695,44.83545941755552,23.077074700212396,0.0,0.0,12.527554837258158,36.26397452890518,53.40694430620582,39.56069948607839,85.05550389506855,0.0,71.20925907494109,11.20886485438888,0.0,6.593449914346401,83.73681391219928,0.0,0.0,0.0,35.604629537470544,39.56069948607839,58.68170423768294,46.15414940042479,56.70366926337904,0.0,62.6377741862908,38.242009503209125,56.04432427194439,0.0,39.56069948607839,25.714454665950957,0.0,48.79152936616337,22.417729708777756,0.0,28.351834631689513,90.98960881798031,0.0,180.0011826616567,31.648559588862717,0.0,49.450874357598,54.725634289075124,22.417729708777756,56.04432427194439,0.0,44.17611442612088,48.79152936616337,36.923319520339824,27.033144648820233,0.0,0.0,0.0,0.0,47.472839383294065,32.967249571732005,60.000394220552245,59.34104922911758,0.0,13.930502858854789,88.15420552171847,68.0022378154441,50.37604537723794,0.0,21.17467425653511,11.722386443519072,26.36568477679802,51.00361530580705,0.0,52.103799625026966,71.22531300414464,21.019718718616822,57.69769454387743,31.099576460201956,9.049403414428472,24.002612823544005,122.62406493164335,0.0,21.17467425653511,0.0,0.0,17.943851290938653,38.4057300730496,105.46273910719209,0.0,64.2290704671336,4.648666137548873,0.0,0.0,71.86837848650559,7.321649166639475,0.0,48.57081336048982,25.978295932002286,34.55508495577996,0.0,0.0,6.058761532605364,17.478984677183764,5.903805994687069,0.0,0.0,60.998247501537115,8.181652402086016,21.019718718616822,19.206738924972758,22.35233634471416,28.57380119213374,30.69669206161439,39.901051013961165,54.31191604036267,18.881332295344343,2.053160877417419,8.499311254818524,20.376653236255894,29.83668882616786,0.0,9.134628960283536,0.0,0.0,0.0,10.38976881742173,13.372662922348923,11.334997598723335,72.24801955440537,15.518797122517322,24.47522721419481,82.32787729599055,0.0,0.0,18.501691227444514,9.20435895234677,52.9715506373694,23.99486504664809,57.93012785075488,20.46187878211095,22.274858575755026,0.0
t0208,151.6193240167436,151.7020328834413,0,0,51.47720284869343,0.0,44.4864715976363,0.0,0.0,43.21542955198956,73.08491762468822,80.07564887574536,68.0007494421012,54.01928693998694,55.2903289856337,0.0,23.514277844464907,0.0,55.92585000845707,17.79458863905452,0.0,76.2625227388051,22.878756821641527,17.79458863905452,144.26327218090628,57.83241307692721,41.944387506342814,93.42159035503624,115.6648261538544,120.11347331361803,43.21542955198956,22.24323579881815,0.0,0.0,12.074899433644141,34.95365625528566,51.47720284869343,38.13126136940255,81.98221194421548,0.0,68.63627046492456,10.80385738799739,0.0,6.3552102282337595,80.71116989856874,0.0,0.0,0.0,34.31813523246228,38.13126136940255,56.56137103128044,44.4864715976363,54.654807962810324,0.0,60.37449716822071,36.86021932375581,54.01928693998694,0.0,38.13126136940255,24.78531989011166,0.0,47.02855568892982,21.607714775994776,0.0,27.32740398140516,87.70190114962585,0.0,173.49723923078162,30.505009095522038,0.0,47.6640767117532,52.7482448943402,21.607714775994776,54.01928693998694,0.0,42.57990852916619,47.02855568892982,35.589177278109034,26.056361935758403,0.0,0.0,0.0,0.0,45.75751364328305,31.776051141168796,57.83241307692721,57.196892054103806,0.0,13.602670883776872,86.07963810657023,66.40191454221892,49.190526188163076,0.0,20.676362361158052,11.446518936125921,25.745210799495375,49.803327268021775,0.0,50.87762051913209,69.54913984124626,20.525053452550978,56.33987211984782,30.367697957441802,8.836440262653719,23.437749943237343,119.73830482621611,0.0,20.676362361158052,0.0,0.0,17.521571616700356,37.50191299826582,102.98084319798151,0.0,62.71754261763642,4.539267258212527,0.0,0.0,70.17707181196567,7.1493459316847305,0.0,47.42777740289057,25.366938527977673,33.74188661937979,0.0,0.0,5.9161783265369925,17.0676448908791,5.764869417929909,0.0,0.0,59.5627518731787,7.989110374454047,20.525053452550978,18.75473922184809,21.826310066571896,27.901362747146333,29.974294795063386,38.962043966324195,53.03377246678302,18.436990513773218,2.004843039043866,8.29929363709857,19.897121481831576,29.134530352294075,0.0,8.919660162387615,0.0,0.0,0.0,10.145262322104998,13.057958812791368,11.068246664608212,70.547778638053,15.153587196999487,23.899242114488946,80.39042314294386,0.0,0.0,18.066283687685857,8.987749171260806,51.72495040733173,23.430184497806987,56.56683548275845,19.980341381565466,21.750655612268368,0.0
t0209,155.1716986496359,157.7605047267103,0,0,52.68329125963869,0.0,45.52877022437913,0.0,0.0,44.227948217968304,74.79726536862285,81.95178640388245,69.59397734297951,55.28493527246037,56.585757278871206,0.0,24.065207118600398,0.0,57.23616828207662,18.21150808975165,0.0,78.04932038464995,23.41479611539498,18.21150808975165,147.64329772762946,59.187401291692886,42.92712621155748,95.61041747119617,118.37480258338574,122.92767960582366,44.227948217968304,22.764385112189565,0.0,0.0,12.357809060902907,35.77260517629787,52.68329125963869,39.02466019232497,83.90301941349868,0.0,70.24438834618493,11.056987054492076,0.0,6.504110032054164,82.60219740708786,0.0,0.0,0.0,35.12219417309247,39.02466019232497,57.88657928528203,45.52877022437913,55.93534627566579,0.0,61.78904530451454,37.72383818591415,55.28493527246037,0.0,39.02466019232497,25.36602912501123,0.0,48.13041423720081,22.11397410898415,0.0,27.967673137832893,89.75671844234742,0.0,177.56220387507864,31.219728153859975,0.0,48.78082524040622,53.984113266049555,22.11397410898415,55.28493527246037,0.0,43.57753721476289,48.13041423720081,36.42301617950329,26.66685113142206,0.0,0.0,0.0,0.0,46.829592230789956,32.520550160270815,59.187401291692886,58.53699028848744,0.0,14.145916066298172,89.51737096904372,69.05378493542774,51.15503129203042,0.0,21.50210712413398,11.903654620861587,26.773388416914724,51.79230559757557,0.0,52.909502528284335,72.32669988736323,21.344755443752472,58.58989819005701,31.580482252569997,9.18933813428046,24.37377529109662,124.52025226991167,0.0,21.50210712413398,0.0,0.0,18.221324588179407,38.999613982558415,107.09355366765891,0.0,65.22227151813784,4.7205504114454415,0.0,0.0,72.97970936094654,7.434866898026571,0.0,49.321884215585804,26.380009215960943,35.08942472507779,0.0,0.0,6.152450702917224,17.74926954703486,5.995099022535711,0.0,0.0,61.94148898218325,8.308168724143975,21.344755443752472,19.503740783288748,22.69797989503349,29.015649862351314,31.171367883578064,40.51805769824004,55.151763973720904,19.17330225448757,2.0849097650550696,8.630739668926083,20.691745970169187,30.298066057460666,0.0,9.275881558490292,0.0,0.0,0.0,10.550430169580562,13.579450016924719,11.510275419907803,73.36522097788121,15.7587707902087,24.85369791626024,83.60094778669878,0.0,0.0,18.787790637552856,9.346689814661975,53.79067193842079,24.365907707077547,58.825925710629285,20.778289394379012,22.61930405484275,0.0
