index,name,zone,slack
ABS,abildskov,DK-West,False
KLT,aggersund,DK-West,False
AND,andst,DK-West,False
AHA,anholt_a,DK-West,False
ASR,askjaer,DK-West,False
BED,bedsted,DK-West,False
BIL,bilstrup,DK-West,False
BJH,bjornholt,DK-West,False
BDR,bramdrup,DK-West,False
BBR,bredebro,DK-West,False
BDK,bredkaer,DK-West,False
BRE,bredmose,DK-West,False
DYB,dybvad,DK-West,False
EDR,endrup,DK-West,False
EST,ESV_estrupvej,DK-West,False
FER,ferslev,DK-West,False
FLE,flensburg,DE,False
FGD,fraugde,DK-West,True
FRD,fredensdal,DK-West,False
FRT,frostrup,DK-West,False
FVO,FVO_fynsvaerket,DK-West,False
GRP,graderup,DK-West,False
ASP,grena,DK-West,False
HASV,hasle,DK-West,False
HAT,hatting,DK-West,False
HER,herning,DK-West,False
HOD,holsted,DK-West,False
HNB,hornbaek,DK-West,False
HR1,horns_rev_1,DK-West,False
HR2,horns_rev_2,DK-West,False
HVO,hvorupgard,DK-West,False
HON,horning,DK-West,False
HSKV,hoskov,DK-West,False
HVV,handvaerkervej,DK-West,False
IDU,idomlund,DK-West,False
JAR,Jardelund,DE,False
KAE,karlsgarde,DK-West,False
KAS,kasso,DK-West,False
KIN,kingstrup,DK-West,False
KLF,klim_fjordholme,DK-West,False
KNA,knapperup,DK-West,False
KBBV,kaerbybro,DK-West,False
LAG,landerupgard,DK-West,False
LEM,lem_kaer,DK-West,False
LOL,loldrup,DK-West,False
LYK,lykkegard,DK-West,False
MAG,magstrup,DK-West,False
MAL,malling,DK-West,False
MES,mesballe,DK-West,False
MKS,MKS_studstrup,DK-West,False
MLP,mollerup,DK-West,False
MOSV,mosbaek,DK-West,False
MLU,moselund,DK-West,False
MAS,marslet,DK-West,False
NSP,nibstrup,DK-West,False
NOR,nors,DK-West,False
NVV,NVV_nordjyllandsvaerket,DK-West,False
OSO,odense_so,DK-West,False
RAM,ramme,DK-West,False
REV,revsing,DK-West,False
RIB,ribe,DK-West,False
RYT,ryttergarden,DK-West,False
SFE,sdr_felding,DK-West,False
SHE,SHE_sonderjyllands_hv,DK-West,False
SKA,skansen,DK-West,False
STW,stadtwerke,DE,False
SBA,starbakke,DK-West,False
STSV,stoustrup,DK-West,False
STR,struer,DK-West,False
SVB,svendborg,DK-West,False
SVS,SVS_skaerbaekvaerket,DK-West,False
SON,sonderborg,DK-West,False
TAN,tange,DK-West,False
THY,thyregod,DK-West,False
THO,tinghoj,DK-West,False
TJE,tjele,DK-West,False
TRI,trige,DK-West,False
TYR,tyrstrup,DK-West,False
VHA,vester_hassing,DK-West,False
VID,videbaek,DK-West,False
VIL,vilsted,DK-West,False
ADL,adalen,DK-West,False
ABO,aalborg_ost,DK-West,False
ADV,adveore,DK-East,False
AVV,adveorevaerket,DK-East,False
ALL,allerodgard,DK-East,False
AMK,amager_kbst,DK-East,False
AMV,amagervaerket,DK-East,False
ASV,asnaesvaerket,DK-East,False
BAG,bagsvaerdgard,DK-East,False
BAL,ballerupgard,DK-East,False
BLA,bangslev,DK-East,False
BEL,bellahoj,DK-East,False
BJS,bjaeverskov,DK-East,False
BOR,borup,DK-East,False
BRY,brondbygard,DK-East,False
DYR,dyregard,DK-East,False
EBY,ejbygard,DK-East,False
ESK,eskildstrup,DK-East,False
FNM,fensmark,DK-East,False
FLA,flaskegard,DK-East,False
GLN,glentegard,DK-East,False
GRE,grevinge,DK-East,False
GRN,gronnegard,DK-East,False
GGG,guldgravergard_kobl_pkt,DK-East,False
GOR,gorlose,DK-East,False
HSKO,hareskovgard,DK-East,False
HASO,haslev,DK-East,False
HCV,hc_orstedsvaerket,DK-East,False
HDG,hedegard,DK-East,False
HEJ,hejninge,DK-East,False
HMA,herlufmagle,DK-East,False
HKS,herslev_kbst,DK-East,True
HVE,hovegard,DK-East,False
TEG,HOK_teglstrupgard,DK-East,False
IDE,idestrup,DK-East,False
ISH,ishoj,DK-East,False
JER,jersie,DK-East,False
KBA,kalundborg,DK-East,False
KAM,kamstrup,DK-East,False
KAR,karise,DK-East,False
KLB,karleby,DK-East,False
KRL,karlstrup,DK-East,False
KAK,kastrup_kbst,DK-East,False
KSV,kirkeskovgard,DK-East,False
KYV,kyndbyvaerket,DK-East,False
KDR,kaederup,DK-East,False
LIN,lindevang,DK-East,False
LUP,lyngerup,DK-East,False
MAV,MAV_masnedovaerket,DK-East,False
MOSO,mosedegard,DK-East,False
MALO,malovgard,DK-East,False
NVS,novo,DK-East,False
NAM,nr_asmindrup,DK-East,False
NYA,nymollegard_vindinge,DK-East,False
NYR,nyrup,DK-East,False
NSV,naestved,DK-East,False
ORH,orehoved,DK-East,False
OST,ostedgard,DK-East,False
RAD,radsted,DK-East,False
RIN,ringsted,DK-East,False
RIL,rislev,DK-East,False
RBY,rodby,DK-East,False
ROA,rodsand_A,DK-East,False
ROB,rodsand_B,DK-East,False
SKE,skellingsted,DK-East,False
SIB,skibbygard,DK-East,False
SPA,spanager,DK-East,False
SPR,sperrestrupgard,DK-East,False
STA,stasevang,DK-East,False
STSO,statoil,DK-East,False
STV,stignaesvaerket,DK-East,False
SMK,svanemollevaerket,DK-East,False
SE4,SWEDEN_4,SE,False
SOS,sostremose,DK-East,False
TOR,torslunde,DK-East,False
VAL,valsevaerket,DK-East,False
VEJ,vejlea,DK-East,False
VLO,vestlolland,DK-East,False
VIK,vigerslev,DK-East,False
OLS,olstykkegard,DK-East,False
OSH,osterholm,DK-East,False
BOH,bornholm,SE,False
