index,mc,tech,node,eta,g_max,h_max,heatarea
Ostkraft_OKR6_Kuldel,148.51314469757358,st,BOH,0.2861676073707224,22.0,0.0,
Kyndbyvaerket_KYV22,387.43997338229144,st,KYV,0.2501923218010125,260.0,0.0,
Kyndbyvaerket_KYV41_diesel,339.28060186592677,ccgt,KYV,0.3413175041157512,18.0,0.0,
Kyndbyvaerket_KYV51+52,383.63241426377664,gt,KYV,0.25,126.0,0.0,
Masnedo_GT,399.0374319538852,gt,MAV,0.24,70.0,0.0,
Ostkraft_Diesel,277.87930331872406,ccgt,BOH,0.3707202706336967,19.6,0.0,
Ostkraft_OKR5,210.42821514522032,st,BOH,0.2818232143724604,27.5,0.0,
Ostkraft_OKR7,321.9215274917638,ccgt,BOH,0.364695200916872,15.0,0.0,
Nodstromsanlaeg_DK_East,376.57707064582416,ccgt,EBY,0.3,7.869999999999999,0.0,
Nordjyllandsvaerket_Gasturbine,399.1374319538852,gt,NVV,0.24,24.0,0.0,
Studstrupvaerket_SSV5,370.4281133865409,gt,MKS,0.2592592592592592,14.0,0.0,
Gasturbine_Esbjerg,322.0123435033425,gt,LYK,0.3,25.0,0.0,
Forbraendingsmotor_Anholt,318.3268475051012,ccgt,ASP,0.3699421965317919,1.4,0.0,
Forbraendingsmotor_OstermoseBioenergi,301.15747362052116,ccgt,HER,0.399209486166008,22.4,0.0,
Tangevaerket,67.573568,ror,TAN,1.0,3.9,0.0,
Vandkraft_Ovrig,67.67356799999999,ror,KAE,1.0,4.7,0.0,
Nordforbraending_KV,342.35959221228615,st,STA,0.06060620054109715,1.620638714525172,20.8,Helsingor
Forbraendingsmotor_Naturgas_Helsingor,168.53593460782977,ccgt,TEG,0.3956542303370392,1.0,1.370558375634518,Helsingor
Kedel_Naturgas_Helsingor,59.01898726058763,boiler,STA,0.9950387975953128,0.0,122.55,Helsingor
Kedel_Olie_Helsingor,115.29815051326088,boiler,STA,0.9,0.0,32.0,Helsingor
Kedel_BiomasseAffald_Helsingor,163.28012358756655,boiler,STA,0.9373275572628342,0.0,21.0,Helsingor
Kedel_Biomasse_Helsingor,82.59088393945441,boiler,STA,0.9618937173293551,0.0,5.0,Helsingor
Overskudsvarme_Helsingor,9.773568000000001,iheat,STA,1.0,0.0,11.6,Helsingor
Hillerod_KV_Levetidsforlaenget,146.92803324797984,gt,ALL,0.3906879339978944,68.70581950700559,78.0,Hillerod
Hillerod_KV_2,445.5720081322501,st,ALL,0.14,4.2,25.0,Hillerod
Flisforgasser_Gasmotor_Hillerod,318.3257209068401,ccgt,ALL,0.21,0.6,2.142857142857143,Hillerod
Kedel_Naturgas_Hillerod,62.29025220089243,boiler,ALL,0.9346390744771407,0.0,108.3,Hillerod
Kedel_Olie_Hillerod,115.39815051326087,boiler,ALL,0.9,0.0,103.9,Hillerod
Kedel_Biomasse_Hillerod,72.64841581177552,boiler,ALL,0.9629703062031163,0.0,17.6,Hillerod
Overskudsvarme_Hillerod,9.873568,iheat,ALL,1.0,0.0,0.29,Hillerod
DTU_KV,151.09255648797168,gt,GLN,0.3784627962083257,25.52230313948813,31.0,DTU
Kedel_Naturgas_DTU,65.61854113270205,boiler,GLN,0.8802742214147438,0.0,36.97,DTU
Amagervaerket_AMV1,600.6283710619961,st,AMV,0.106,21.014,158.0,KBH
Amagervaerket_AMV3,117.2054387679238,st,AMV,0.3764811043875372,250.0,332.0,KBH
Avedorevaerket_AVV1_Ombygget,156.27820283469018,st,AVV,0.377680887492892,250.0,331.0,KBH
